PWSID,PWS_Name,Counties_Served,Primacy_FINAL,Final_inst_update,Inst_Subtype,ancillary,public,enfranchisement,Variablecoded,enfranchisement_final,SERVICE_CONNECTIONS,POPULATION,MHI,CALENVIRO_SCREEN_SCORE,FINAL_SAFER_STATUS,PRIMARY_MCL_VIOLATION,SECONDARY_MCL_VIOLATION,E_COLI_VIOLATION,TREATMENT_TECHNIQUE_VIOLATION,MONITORING_AND_REPORTING_VIOLATION,WEIGHTED_WATER_QUALITY_SCORE,WEIGHTED_ACCESSIBILITY_SCORE,WEIGHTED_AFFORDABILITY_SCORE,WEIGHTED_TMF_CAPACITY_SCORE,FUNDING_RECEIVED_SINCE_2017,Total_risk,CURRENT_FAILING,PERCENT_OF_MEDIAN_HOUSEHOLD_INCOME_MHI_RAW_SCORE,EXTREME_WATER_BILL_RAW_SCORE,HOUSEHOLD_SOCIOECONOMIC_BURDEN_RAW_SCORE,Intend.to.apply.,Application.complete.,FundingYorN,Type,Primary.Source.Water.Type,Source,Purchased,LN_POP
CA1500231,VICTORY MUTUAL WATER COMPANY,Kern,DISTRICT 12 - VISALIA,Mutual Benefit,Mutual Water Company,No,Yes,Limited,NA,Limited,173,849,39102,57.12036776,Failing,YES,NO,NO,NO,YES,2.5,1,2,1.33,0,6.83,Failing,NA,NA,1,Did not complete survey,No,No,C,GW,GW,Self-produced,6.745236349484363
CA1503526,WINI MUTUAL WATER COMPANY,Kern,DISTRICT 12 - VISALIA,Mutual Benefit,Mutual Water Company,No,Yes,Limited,NA,Limited,12,29,NA,NA,Failing,YES,NO,NO,NO,NO,2.5,2.17,1.67,0,0,6.34,Failing,1,0,1,No,No,No,C,GW,GW,Self-produced,3.4011973816621555
CA1500483,ALLEN ROAD MUTUAL WATER SYSTEM,Kern,DISTRICT 12 - VISALIA,Mutual Benefit,Mutual Water Company,No,Yes,Limited,NA,Limited,59,195,150155.5564,12.9024644,Not At-Risk,NO,NO,NO,NO,NO,0,1,1.08,0,0,2.08,Not Failing,0.75,1,0,No,No,No,C,GW,GW,Self-produced,5.278114659230517
CA1500289,ATHAL MUTUAL WATER SYSTEM,Kern,DISTRICT 12 - VISALIA,Mutual Benefit,Mutual Water Company,No,Yes,Limited,NA,Limited,55,150,29389,63.92736714,Failing,YES,NO,NO,NO,NO,2,2,1.33,0.83,0,6.16,Failing,1,0,0.5,Did not complete survey,No,No,C,GW,GW,Self-produced,5.017279836814924
CA1500344,SOUTH KERN MUTUAL WATER COMPANY,Kern,DISTRICT 12 - VISALIA,Mutual Benefit,Mutual Water Company,No,Yes,Limited,NA,Limited,15,32,102505.343,39.38841289,Failing,YES,NO,NO,NO,NO,2,2.17,0,1.17,0,5.34,Failing,0,0,0,Did not complete survey,No,No,C,GW,GW,Self-produced,3.4965075614664802
CA1502600,WEGIS MUTUAL WATER COMPANY,Kern,DISTRICT 12 - VISALIA,Mutual Benefit,Mutual Water Company,No,Yes,Limited,NA,Limited,23,64,126979,16.51611561,Potentially At-Risk,NO,NO,NO,NO,NO,0,2.17,0.33,0,0,2.5,Not Failing,0,1,0,No,No,No,C,GW,GW,Self-produced,4.174387269895637
CA1500096,OLD RIVER MUTUAL WATER COMPANY,Kern,DISTRICT 12 - VISALIA,Mutual Benefit,Mutual Water Company,No,Yes,Limited,NA,Limited,14,128,79899.2338,39.38841289,Failing,YES,NO,NO,NO,NO,2,2.67,0,0.83,0,5.5,Failing,0,0,0,Yes,No,No,C,GW,GW,Self-produced,4.859812404361672
CA1503475,WESTERN ACRES MUTUAL WATER COMPANY,Kern,DISTRICT 12 - VISALIA,Mutual Benefit,Mutual Water Company,No,Yes,Limited,NA,Limited,90,1023,109057.2471,60.26788506,Failing,YES,NO,NO,NO,NO,0.5,1,0.33,1,0,2.83,Failing,0,0,0.5,Yes,Yes,No,C,GW,GW,Self-produced,6.931471805599453
CA1510029,VAUGHN WC INC,Kern,DISTRICT 12 - VISALIA,Mutual Benefit,Unknown/Other,No,Yes,Limited,NA,Limited,11213,33420,121399.9137,9.504039634,Not Assessed,NO,NO,NO,NO,NO,NA,NA,NA,NA,0,NA,Not Failing,NA,NA,NA,Yes,Yes,No,C,GW,GW,Self-produced,10.416939723904
CA3610093,ARROWHEAD VILLAS MUTUAL SERVICE COMPANY,San Bernardino,DISTRICT 13 - SAN BERNARDINO,Mutual Benefit,HOA,No,Yes,Limited,NA,Limited,798,2654,63545.20184,25.49212303,Not At-Risk,NO,NO,NO,NO,NO,0,0,1.67,0,0,1.67,Not Failing,1,1,0.5,No,No,No,C,SWP,SW,Purchased,7.884199933676039
CA3610002,ALPINE WATER USERS ASSOCIATION,San Bernardino,DISTRICT 13 - SAN BERNARDINO,Mutual Benefit,Mutual Water Company,No,Yes,Limited,NA,Limited,931,2534,69726.92736,14.04627157,At-Risk,NO,NO,NO,NO,NO,3,0,0.67,1.33,0,5,Not Failing,0,0,1,No,No,No,C,SWP,SW,Purchased,7.837948916025283
CA1400066,ASPENDELL MUTUAL WATER COMPANY,Inyo,DISTRICT 13 - SAN BERNARDINO,Mutual Benefit,Mutual Water Company,No,Yes,Limited,NA,Limited,94,60,51500,15.06362095,Not At-Risk,NO,NO,NO,NO,NO,2,0.33,0,0,0,2.33,Not Failing,0,0,0,No,No,No,C,GW,GW,Self-produced,4.110873864173311
CA1400027,CARTAGO MUTUAL WATER COMPANY,Inyo,DISTRICT 13 - SAN BERNARDINO,Mutual Benefit,Mutual Water Company,No,Yes,Limited,NA,Limited,40,132,48466,23.55490275,Potentially At-Risk,NO,NO,NO,NO,NO,1.5,0.33,0,0.67,0,2.5,Not Failing,0,0,0,No,No,No,C,GW,GW,Self-produced,4.890349128221754
CA3610016,GLEN MARTIN MWC,San Bernardino,DISTRICT 13 - SAN BERNARDINO,Mutual Benefit,Mutual Water Company,No,Yes,Limited,NA,Limited,339,450,76328,14.52605013,Not At-Risk,NO,NO,NO,NO,NO,0,0.5,0,0.33,0,0.83,Not Failing,0,0,0,No,No,No,C,GW,GW,Self-produced,6.111467339502679
CA3610023,GREEN VALLEY MWC,San Bernardino,DISTRICT 13 - SAN BERNARDINO,Mutual Benefit,Mutual Water Company,No,Yes,Limited,NA,Limited,1170,3062,45409.47958,18.52549242,Not At-Risk,NO,NO,NO,NO,NO,0,0,0.67,0,0,0.67,Not Failing,0,0,1,No,No,No,C,SWP,SW,Purchased,8.027150106832774
CA3600139,JUBILEE MWC,San Bernardino,DISTRICT 13 - SAN BERNARDINO,Mutual Benefit,Mutual Water Company,No,Yes,Limited,NA,Limited,216,710,29541,28.96574767,Not At-Risk,NO,NO,NO,NO,NO,0,0.33,0.67,0,6029681.98,1,Not Failing,0,0,1,No,No,Yes,C,GW,GW,Self-produced,6.566672429803241
CA1400111,MEADOWCREEK MUTUAL WATER COMPANY,Inyo,DISTRICT 13 - SAN BERNARDINO,Mutual Benefit,Mutual Water Company,No,Yes,Limited,NA,Limited,284,764,79161.53822,10.62116256,Not At-Risk,NO,NO,NO,NO,NO,0,0.33,0,0.33,0,0.66,Not Failing,0,0,0,No,No,No,C,GW,GW,Self-produced,6.639875833826536
CA3610031,MUSCOY MWC NO. 1,San Bernardino,DISTRICT 13 - SAN BERNARDINO,Mutual Benefit,Mutual Water Company,No,Yes,Limited,NA,Limited,1419,13000,46529.68397,54.30306311,Not At-Risk,NO,NO,NO,NO,NO,0,0.33,1.42,0,0,1.75,Not Failing,0.75,0,1,No,No,No,C,GW,GW,Self-produced,9.472781556562168
CA1400072,NORTH LONE PINE MUTUAL WATER COMPANY,Inyo,DISTRICT 13 - SAN BERNARDINO,Mutual Benefit,Mutual Water Company,No,Yes,Limited,NA,Limited,33,70,21666,23.55490275,Not At-Risk,NO,NO,NO,NO,NO,0.5,0.33,1.08,0,0,1.91,Not Failing,0.75,0,0.5,No,No,No,C,GW,GW,Self-produced,4.2626798770413155
CA1400110,PARK WEST MUTUAL WATER COMPANY,Inyo,DISTRICT 13 - SAN BERNARDINO,Mutual Benefit,Mutual Water Company,No,Yes,Limited,NA,Limited,67,200,91603,7.545935143,Not At-Risk,NO,NO,NO,NO,NO,0.25,0.33,0,0.67,0,1.25,Not Failing,0,0,0,No,No,No,C,GW,GW,Self-produced,5.303304908059076
CA1400031,RANCH ROAD ESTATES MUTUAL WATER COMPANY,Inyo,DISTRICT 13 - SAN BERNARDINO,Mutual Benefit,Mutual Water Company,No,Yes,Limited,NA,Limited,27,65,52813,7.545935143,Not At-Risk,NO,NO,NO,NO,NO,0,0.33,0,0,0,0.33,Not Failing,0,0,0,No,No,No,C,GW,GW,Self-produced,4.189654742026425
CA3610109,SHEEP CREEK WATER COMPANY,San Bernardino,DISTRICT 13 - SAN BERNARDINO,Mutual Benefit,Mutual Water Company,No,Yes,Limited,NA,Limited,1191,3626,49772.25277,14.3061074,Potentially At-Risk,NO,NO,NO,NO,NO,0,1,1.42,0.33,0,2.75,Not Failing,0.75,0,1,Yes,Yes,No,C,GW,GW,Self-produced,8.196161139282902
CA3610048,TERRACE WATER COMPANY,San Bernardino,DISTRICT 13 - SAN BERNARDINO,Mutual Benefit,Mutual Water Company,No,Yes,Limited,NA,Limited,606,2400,58532.56268,41.63477457,At-Risk,NO,NO,NO,NO,NO,0,1,1.67,0.67,1193050,3.34,Not Failing,1,1,0.5,Yes,Yes,Yes,C,GW,GW,Self-produced,7.783640596221253
CA1400025,VALLEY VISTA MUTUAL WATER COMPANY,Inyo,DISTRICT 13 - SAN BERNARDINO,Mutual Benefit,Mutual Water Company,No,Yes,Limited,NA,Limited,25,70,76964,15.06362095,Not At-Risk,NO,NO,NO,NO,NO,0,1.5,0,0,0,1.5,Not Failing,0,0,0,No,No,No,C,GW,GW,Self-produced,4.2626798770413155
CA1400135,WILSON CIRCLE MUTUAL WATER COMPANY,Inyo,DISTRICT 13 - SAN BERNARDINO,Mutual Benefit,Mutual Water Company,No,Yes,Limited,NA,Limited,48,129,62320.10288,10.62116256,Failing,NO,YES,NO,NO,NO,0.75,0.33,0.33,0.33,0,1.74,Failing,0,0,0.5,No,No,No,C,GW,GW,Self-produced,4.867534450455582
CA1400024,ROCKING K RANCH ESTATES MUTUAL WATER CO.,Inyo,DISTRICT 13 - SAN BERNARDINO,Mutual Benefit,Mutual Water Company,No,Yes,Limited,NA,Limited,14,25,51500,15.06362095,At-Risk,NO,NO,NO,NO,NO,1.75,0.33,0.75,0.67,0,3.5,Not Failing,0.75,0,0,No,No,No,C,GW,GW,Self-produced,3.258096538021482
CA3610051,VALLEY OF ENCHANTMENT MWC,San Bernardino,DISTRICT 13 - SAN BERNARDINO,Mutual Benefit,Mutual Water Company,No,Yes,Limited,NA,Limited,823,1992,51836,26.77085811,Not At-Risk,NO,NO,NO,NO,NO,0,0,1.25,0,0,1.25,Not Failing,0.75,0.5,0.5,Yes,Yes,No,C,SWP,SW,Purchased,7.597396320212795
CA3700866,DEL DIOS MUTUAL WATER COMPANY,San Diego,DISTRICT 14 - SAN DIEGO,Mutual Benefit,Mutual Water Company,No,Yes,Limited,NA,Limited,148,330,108413.0346,4.669242495,Not At-Risk,NO,NO,NO,NO,NO,0,0.17,0,0.33,0,0.5,Not Failing,0,0,0,No,No,No,C,SWP,SW,Purchased,5.802118375377063
CA3700937,LAZY H MUTUAL WATER COMPANY,San Diego,DISTRICT 14 - SAN DIEGO,Mutual Benefit,Mutual Water Company,No,Yes,Limited,NA,Limited,43,142,88116,16.77714628,Not At-Risk,NO,NO,NO,NO,NO,0,0,0.33,0.67,0,1,Not Failing,0,0,0.5,No,No,No,C,GW,GW,Self-produced,4.962844630259907
CA3700933,PALOMAR MOUNTAIN MUTUAL WATER CO.,San Diego,DISTRICT 14 - SAN DIEGO,Mutual Benefit,Mutual Water Company,No,Yes,Limited,NA,Limited,197,560,77865.70785,15.71377926,Not At-Risk,NO,NO,NO,NO,NO,0,0.33,1,0.67,0,2,Not Failing,NA,NA,0.5,Did not complete survey,No,No,C,GW,GW,Self-produced,6.329720905522696
CA3700936,RANCHO ESTATES MUTUAL WATER CO.,San Diego,DISTRICT 14 - SAN DIEGO,Mutual Benefit,Mutual Water Company,No,Yes,Limited,NA,Limited,89,200,63036.24501,23.8943545,Not At-Risk,NO,NO,NO,NO,NO,0,0,0.33,0,217238,0.33,Not Failing,0,0,0.5,Did not complete survey,No,Yes,C,GW,GW,Self-produced,5.303304908059076
CA3710012,RANCHO PAUMA MUTUAL WC,San Diego,DISTRICT 14 - SAN DIEGO,Mutual Benefit,Mutual Water Company,No,Yes,Limited,NA,Limited,387,899,102683.1323,16.77714628,Not At-Risk,NO,NO,NO,NO,NO,0,0,1,0.33,0,1.33,Not Failing,NA,NA,0.5,No,No,No,C,GW,GW,Self-produced,6.802394763324311
CA3700934,PAUMA VALLEY WATER COMPANY,San Diego,DISTRICT 14 - SAN DIEGO,Mutual Benefit,Mutual Water Company,No,Yes,Limited,NA,Limited,58,193,69068.13345,16.77714628,Failing,YES,NO,NO,NO,NO,2.5,0.33,0.33,0.83,0,3.99,Failing,0,0,0.5,Yes,Yes,No,C,GW,GW,Self-produced,5.267858159063328
CA3700918,RANCHO SANTA TERESA MW CO.,San Diego,DISTRICT 14 - SAN DIEGO,Mutual Benefit,Mutual Water Company,No,Yes,Limited,NA,Limited,39,102,130306.8203,13.96248271,At-Risk,NO,NO,NO,NO,NO,2,0.33,0,1.67,0,4,Not Failing,0,0,0,No,No,No,C,GW,GW,Self-produced,4.634728988229636
CA1910128,COVINA IRRIGATING CO.,Los Angeles,DISTRICT 15 - METROPOLITAN,Mutual Benefit,Mutual Water Company,No,Yes,Limited,NA,Limited,12,0,53596,52.46878072,Not Assessed,NO,NO,NO,NO,NO,NA,NA,NA,NA,0,NA,Not Failing,NA,NA,NA,No,No,No,C,SW,SW,Self-produced,0
CA1900803,EL DORADO MUTUAL WATER CO.,Los Angeles,DISTRICT 15 - METROPOLITAN,Mutual Benefit,Mutual Water Company,No,Yes,Limited,NA,Limited,240,660,56680.56362,34.31150219,Not At-Risk,NO,NO,NO,NO,NO,0,0,0.33,0.33,0,0.66,Not Failing,0,0,0.5,Did not complete survey,No,No,C,SWP,SW,Purchased,6.493753839851686
CA1910166,VALLEY WATER CO.,Los Angeles,DISTRICT 15 - METROPOLITAN,Mutual Benefit,Mutual Water Company,No,Yes,Limited,NA,Limited,3611,10070,184902.1619,22.24867784,Not At-Risk,NO,NO,NO,NO,NO,1.5,0,0,0,0,1.5,Not Failing,0,0,0,No,No,No,C,SWP,SW,Purchased,9.217415285648144
CA1910199,CALIFORNIA DOMESTIC WATER COMPANY,Los Angeles,DISTRICT 15 - METROPOLITAN,Mutual Benefit,Mutual Water Company,No,Yes,Limited,NA,Limited,21,0,85526,12.80284136,Not Assessed,NO,NO,NO,NO,NO,NA,NA,NA,NA,0,NA,Not Failing,NA,NA,NA,No,No,No,C,GW,GW,Self-produced,0
CA1910157,SUNNY SLOPE WATER CO.,Los Angeles,DISTRICT 15 - METROPOLITAN,Mutual Benefit,Mutual Water Company,No,Yes,Limited,NA,Limited,6337,25252,99355.53224,8.719609035,Not At-Risk,NO,NO,NO,NO,NO,1.13,0.33,0.33,0,0,1.79,Not Failing,0,0,0.5,Yes,Yes,No,C,GW,GW,Self-produced,10.136700239527121
CA1910023,AVERYDALE MWC,Los Angeles,DISTRICT 16 - CENTRAL,Mutual Benefit,Mutual Water Company,No,Yes,Limited,NA,Limited,300,990,41099.75876,51.3495546,Potentially At-Risk,NO,NO,NO,NO,NO,1.13,0.33,1,0,0,2.46,Not Failing,NA,NA,0.5,No,No,No,C,GW,GW,Self-produced,6.898714534329988
CA1910012,BELLFLOWER HOME GARDEN WATER COMPANY,Los Angeles,DISTRICT 16 - CENTRAL,Mutual Benefit,Mutual Water Company,No,Yes,Limited,NA,Limited,342,1129,71164.2472,51.85760377,Not At-Risk,NO,NO,NO,NO,NO,0,1,0.67,0,0,1.67,Not Failing,0,0,1,No,No,No,C,SWP,SW,Purchased,7.029972911706386
CA1910061,LAS FLORES WATER CO.,Los Angeles,DISTRICT 16 - CENTRAL,Mutual Benefit,Mutual Water Company,No,Yes,Limited,NA,Limited,1479,4847,137509.1198,15.23163471,Not At-Risk,NO,NO,NO,NO,NO,0,0,0,0,0,0,Not Failing,0,0,0,Yes,Yes,No,C,SWP,SW,Purchased,8.48632152774915
CA1910084,MAYWOOD MUTUAL WATER CO. #1,Los Angeles,DISTRICT 16 - CENTRAL,Mutual Benefit,Mutual Water Company,No,Yes,Limited,NA,Limited,1155,5500,52282.35213,62.44212141,Potentially At-Risk,NO,NO,NO,NO,NO,1.5,0,0.67,0.67,0,2.84,Not Failing,0,0,1,Yes,Yes,No,C,SWP,SW,Purchased,8.612685172875459
CA1910086,MAYWOOD MUTUAL WATER CO. #3,Los Angeles,DISTRICT 16 - CENTRAL,Mutual Benefit,Mutual Water Company,No,Yes,Limited,NA,Limited,2014,9500,49277.99746,51.35835291,Not At-Risk,NO,NO,NO,NO,NO,1.5,0,0.67,0,0,2.17,Not Failing,0,0,1,No,No,No,C,SWP,SW,Purchased,9.15915233520675
CA1910091,MONTEBELLO LAND & WATER CO.,Los Angeles,DISTRICT 16 - CENTRAL,Mutual Benefit,Mutual Water Company,No,Yes,Limited,NA,Limited,3937,26554,51587.57323,43.37360894,Not At-Risk,NO,NO,NO,NO,NO,0,0,0.67,0,0,0.67,Not Failing,0,0,1,Yes,Yes,No,C,GW,GW,Self-produced,10.1869733328565
CA1910163,VALENCIA HEIGHTS WATER CO.,Los Angeles,DISTRICT 16 - CENTRAL,Mutual Benefit,Mutual Water Company,No,Yes,Limited,NA,Limited,1684,7775,103051.3456,21.3370414,Not At-Risk,NO,NO,NO,NO,NO,0,0,0.33,0,1939868,0.33,Not Failing,0,0,0.5,No,No,Yes,C,SWP,SW,Purchased,8.958797346140274
CA1910085,MAYWOOD MUTUAL WATER CO. #2,Los Angeles,DISTRICT 16 - CENTRAL,Mutual Benefit,Mutual Water Company,No,Yes,Limited,NA,Limited,1924,6349,49282.67115,71.99761578,Not At-Risk,NO,NO,NO,NO,NO,0,0,0.67,0.17,2709645,0.84,Not Failing,0,0,1,Yes,Yes,Yes,C,SWP,SW,Purchased,8.756210091886738
CA1910140,RUBIO CANON LAND & WATER ASSOCIATION,Los Angeles,DISTRICT 16 - CENTRAL,Mutual Benefit,Mutual Water Company,No,Yes,Limited,NA,Limited,3128,9600,140757.2772,15.23163471,Not At-Risk,NO,NO,NO,NO,NO,0,0,0,0.67,0,0.67,Not Failing,0,0,0,Yes,Yes,No,C,SW,SW,Self-produced,9.169622538697624
CA1910081,LYNWOOD PARK MUTUAL WATER CO.,Los Angeles,DISTRICT 16 - CENTRAL,Mutual Benefit,Mutual Water Company,No,Yes,Limited,NA,Limited,470,2300,51486.07001,59.11685602,At-Risk,NO,NO,NO,NO,NO,3,0.33,0.67,1,0,5,Not Failing,0,0,1,Did not complete survey,No,No,C,GW,GW,Self-produced,7.741099090035366
CA4300792,ABORN HEIGHTS WATER MUTUAL ASSOCIATION,Santa Clara,DISTRICT 17 - SANTA CLARA,Mutual Benefit,Mutual Water Company,No,Yes,Limited,NA,Limited,38,45,214627.5544,6.492478724,Potentially At-Risk,NO,NO,NO,NO,NO,1.5,1.5,0.17,0,0,3.17,Not Failing,0,0.5,0,No,No,No,C,GW,GW,Self-produced,3.828641396489095
CA4300978,BRUSH AND OLD WELL MUTUAL WATER COMPANY,Santa Clara,DISTRICT 17 - SANTA CLARA,Mutual Benefit,Mutual Water Company,No,Yes,Limited,NA,Limited,27,70,196720.2882,6.065902627,Not At-Risk,NO,NO,NO,NO,NO,0,1,0.33,0,0,1.33,Not Failing,0,1,0,No,No,No,C,SWP,SW,Purchased,4.2626798770413155
CA4100503,BUTANO CANYON MUTUAL,San Mateo,DISTRICT 17 - SANTA CLARA,Mutual Benefit,Mutual Water Company,No,Yes,Limited,NA,Limited,94,150,126818,10.52435678,At-Risk,NO,NO,NO,NO,NO,0.75,1.33,1.08,0.67,0,3.83,Not Failing,0.75,1,0,No,No,No,C,SW,SW,Self-produced,5.017279836814924
CA4300517,CHEMEKETA PARK MUTUAL WATER COMPANY,Santa Clara,DISTRICT 17 - SANTA CLARA,Mutual Benefit,Mutual Water Company,No,Yes,Limited,NA,Limited,153,346,199271.8084,6.065902627,Not At-Risk,NO,NO,NO,NO,NO,0,0,0.33,0,0,0.33,Not Failing,0,1,0,No,No,No,C,SW,SW,Self-produced,5.849324779946859
CA4301004,EMERALD VALLEY MUTUAL WATER COMPANY,Santa Clara,DISTRICT 17 - SANTA CLARA,Mutual Benefit,Mutual Water Company,No,Yes,Limited,NA,Limited,13,43,144935.5713,10.98704672,Not At-Risk,NO,NO,NO,NO,NO,0,0.33,1.33,0,0,1.66,Not Failing,1,1,0,No,No,No,C,GW,GW,Self-produced,3.784189633918261
CA4300630,FOOTHILL MUTUAL WATER COMPANY,Santa Clara,DISTRICT 17 - SANTA CLARA,Mutual Benefit,Mutual Water Company,No,Yes,Limited,NA,Limited,9,36,94829,25.7017844,Potentially At-Risk,NO,NO,NO,NO,NO,0.5,1.5,0,0.67,0,2.67,Not Failing,0,0,0,Did not complete survey,No,No,C,GW,GW,Self-produced,3.6109179126442243
CA4300992,GOLDEN HEIGHTS MUTUAL WATER COMPANY,Santa Clara,DISTRICT 17 - SANTA CLARA,Mutual Benefit,Mutual Water Company,No,Yes,Limited,NA,Limited,21,66,94857.18573,42.21174727,Not At-Risk,NO,NO,NO,NO,NO,0,0.33,0,0,0,0.33,Not Failing,0,0,0,No,No,No,C,GW,GW,Self-produced,4.204692619390966
CA4300573,GREEN ACRES MUTUAL WATER,Santa Clara,DISTRICT 17 - SANTA CLARA,Mutual Benefit,Mutual Water Company,No,Yes,Limited,NA,Limited,18,53,118565,8.371000159,At-Risk,NO,NO,NO,NO,NO,1.75,2.5,0,0.33,0,4.58,Not Failing,0,0,0,No,No,No,C,GW,GW,Self-produced,3.9889840465642745
CA4300560,GREEN MOUNTAIN WATER COMPANY,Santa Clara,DISTRICT 17 - SANTA CLARA,Mutual Benefit,Mutual Water Company,No,Yes,Limited,NA,Limited,38,80,118565,8.371000159,Not At-Risk,NO,NO,NO,NO,NO,0,1.5,0.17,0,0,1.67,Not Failing,0,0.5,0,No,No,No,C,GW,GW,Self-produced,4.394449154672439
CA4300551,HAPPY ACRES MWC,Santa Clara,DISTRICT 17 - SANTA CLARA,Mutual Benefit,Mutual Water Company,No,Yes,Limited,NA,Limited,79,220,225208,8.371000159,Not At-Risk,NO,NO,NO,NO,NO,0.25,1.5,0,0,0,1.75,Not Failing,0,0,0,No,No,No,C,GW,GW,Self-produced,5.3981627015177525
CA4300521,KENNON WATER COMPANY,Santa Clara,DISTRICT 17 - SANTA CLARA,Mutual Benefit,Mutual Water Company,No,Yes,Limited,NA,Limited,43,142,213159.0799,4.804089793,Not At-Risk,NO,NO,NO,NO,NO,0,1,0,0,0,1,Not Failing,0,0,0,Did not complete survey,No,No,C,SWP,SW,Purchased,4.962844630259907
CA4100539,KINGS MOUNTAIN PARK MUTUAL,San Mateo,DISTRICT 17 - SANTA CLARA,Mutual Benefit,Mutual Water Company,No,Yes,Limited,NA,Limited,23,66,160938,10.52435678,Not At-Risk,NO,NO,NO,NO,NO,0,0,0.33,0,0,0.33,Not Failing,0,1,0,No,No,No,C,SW,SW,Self-produced,4.204692619390966
CA4300522,LAKE CANYON MUTUAL WATER COMPANY,Santa Clara,DISTRICT 17 - SANTA CLARA,Mutual Benefit,Mutual Water Company,No,Yes,Limited,NA,Limited,56,156,196719,6.065902627,Not At-Risk,NO,NO,NO,NO,NO,0,0.33,0.33,0,0,0.66,Not Failing,0,1,0,No,No,No,C,SW,SW,Self-produced,5.056245805348308
CA4100512,LOMA MAR MUTUAL,San Mateo,DISTRICT 17 - SANTA CLARA,Mutual Benefit,Mutual Water Company,No,Yes,Limited,NA,Limited,34,65,126818,10.52435678,At-Risk,NO,NO,NO,NO,NO,0,2.5,1.08,0.67,0,4.25,Not Failing,0.75,1,0,No,No,No,C,SW,SW,Self-produced,4.189654742026425
CA4300637,LOS RANCHOS DE UVAS WATER COMPANY,Santa Clara,DISTRICT 17 - SANTA CLARA,Mutual Benefit,Mutual Water Company,No,Yes,Limited,NA,Limited,22,58,137500.067,8.371000159,Not At-Risk,NO,NO,NO,NO,NO,0.25,0.33,0,0,0,0.58,Not Failing,0,0,0,No,No,No,C,GW,GW,Self-produced,4.07753744390572
CA4300525,MELODY WOODS WATER COMPANY,Santa Clara,DISTRICT 17 - SANTA CLARA,Mutual Benefit,Mutual Water Company,No,Yes,Limited,NA,Limited,51,168,176946.5469,6.065902627,Not At-Risk,NO,NO,NO,NO,NO,0.25,0.33,0.17,0,0,0.75,Not Failing,0,0.5,0,No,No,No,C,GW,GW,Self-produced,5.1298987149230735
CA4300740,MOUNTAIN SPRINGS MUTUAL WATER COMPANY,Santa Clara,DISTRICT 17 - SANTA CLARA,Mutual Benefit,Mutual Water Company,No,Yes,Limited,NA,Limited,18,40,200089,6.065902627,Not At-Risk,NO,NO,NO,NO,NO,0,0,0.33,0,0,0.33,Not Failing,0,1,0,Yes,Yes,No,C,SWP,SW,Purchased,3.713572066704308
CA4300831,MT. EDEN MUTUAL WATER COMPANY,Santa Clara,DISTRICT 17 - SANTA CLARA,Mutual Benefit,Mutual Water Company,No,Yes,Limited,NA,Limited,64,165,233988.6262,4.497814576,Not At-Risk,NO,NO,NO,NO,NO,0,1,0,0.67,0,1.67,Not Failing,0,0,0,No,No,No,C,SWP,SW,Purchased,5.111987788356544
CA4300771,NEW AVENUE MUTUAL WATER COMPANY,Santa Clara,DISTRICT 17 - SANTA CLARA,Mutual Benefit,Mutual Water Company,No,Yes,Limited,NA,Limited,113,302,94911.51301,25.7017844,Failing,NO,YES,NO,NO,NO,0.75,0.33,0,0,0,1.08,Failing,0,0,0,No,No,No,C,GW,GW,Self-produced,5.713732805509369
CA4110019,O'CONNOR TRACT CO-OPERATIVE WATER CO.,San Mateo,DISTRICT 17 - SANTA CLARA,Mutual Benefit,Mutual Water Company,No,Yes,Limited,NA,Limited,359,2789,162813.1328,33.38162162,Not At-Risk,NO,NO,NO,NO,NO,0,0,0.33,0.33,0,0.66,Not Failing,0,0,0.5,No,No,No,C,GW,GW,Self-produced,7.933796874815411
CA4110020,PALO ALTO PARK MUTUAL WATER COMPANY,San Mateo,DISTRICT 17 - SANTA CLARA,Mutual Benefit,Mutual Water Company,No,Yes,Limited,NA,Limited,692,2900,96556.5412,33.38162162,Potentially At-Risk,NO,NO,NO,NO,NO,0.75,0.33,0.67,0.67,0,2.42,Not Failing,0,0,1,Yes,Yes,No,C,GW,GW,Self-produced,7.972810784121404
CA4100555,PORTOLA IMPROVEMENT ASSOCIATION,San Mateo,DISTRICT 17 - SANTA CLARA,Mutual Benefit,Mutual Water Company,No,Yes,Limited,NA,Limited,34,140,126818,10.52435678,Not At-Risk,NO,NO,NO,NO,NO,0,1.5,0,0,0,1.5,Not Failing,0,0,0,No,No,No,C,GW,GW,Self-produced,4.948759890378168
CA4300979,QUAIL CREEK ESTATES MUTUAL WATER COMPANY,Santa Clara,DISTRICT 17 - SANTA CLARA,Mutual Benefit,Mutual Water Company,No,Yes,Limited,NA,Limited,39,55,202955,8.371000159,Not At-Risk,NO,NO,NO,NO,NO,0.25,0.33,0.33,0,0,0.91,Not Failing,0,1,0,No,No,No,C,GW,GW,Self-produced,4.02535169073515
