PWSID,PWS_Name,Counties_Served,Primacy_FINAL,Primacy_agency_SWRCB email,SAFER_REGULATOR,TYPE_consolidated_2018_original,Draft_inst_update_source,Draft_inst_update,Final_inst_update,Inst_Subtype,Notes,Notes_last_updated,Weird_case,Activemarch29?,SAFER_status_2023
CA1000430,COUNTRYSIDE CARE CENTER,Fresno,DISTRICT 23 - FRESNO,DISTRICT 23 - FRESNO,DISTRICT 23 - FRESNO,Private,Kristin,Ancillary,Private - Ancillary,Healthcare_eldercare,Long Term Care Facility; nursing home,2/16/23,,COUNTRYSIDE CARE CENTER,Potentially At-Risk
CA1000324,MANNING GARDENS CARE CENTER INC,Fresno,DISTRICT 23 - FRESNO,DISTRICT 23 - FRESNO,DISTRICT 23 - FRESNO,Private,Kristin,Ancillary,Private - Ancillary,Healthcare_eldercare,,,,MANNING GARDENS CARE CENTER INC,Potentially At-Risk
CA1000200,RUBYS VALLEY CARE HOME,Fresno,DISTRICT 23 - FRESNO,DISTRICT 23 - FRESNO,DISTRICT 23 - FRESNO,Private,Kristin,Ancillary,Private - Ancillary,Healthcare_eldercare,,,,RUBYS VALLEY CARE HOME,At-Risk
CA1000369,ZONNEVELD DAIRY - CEDAR,Fresno,DISTRICT 23 - FRESNO,DISTRICT 23 - FRESNO,DISTRICT 23 - FRESNO,Private,Kristin,Ancillary,Private - Ancillary,Healthcare_eldercare,Nursing home,3/7/23,,ZONNEVELD DAIRY - CEDAR,At-Risk
CA5403213,TEEN CHALLENGE,Tulare,DISTRICT 24 - TULARE,DISTRICT 24 - TULARE,DISTRICT 24 - TULARE,Private,Kristin,Ancillary,Private - Ancillary,Healthcare_eldercare,"One of nine regional facilities with seven strategically placed residential facilities throughout Southern California; he Teen Challenge residential program continues to be one of the largest and most effective substance abuse recovery and prevention programs; non-profit organization, Christian. ",,,TEEN CHALLENGE,Potentially At-Risk
CA2000785,VALLEY TEEN RANCH,Madera,LPA50 - MADERA COUNTY,LPA50 - MADERA COUNTY,LPA50 - MADERA COUNTY,Private,Kristin,Ancillary,Private - Ancillary,Healthcare_eldercare,"https://valleyteenranch.org/services/short-term-residential-therapeutic-program;  population is dependents of Social Services or delinquent juveniles placed by Juvenile Court order "" VTR Short Term Residential Therapeutic Program (STRTP) accepts male residents ages 13–17 and Non‑Minor Dependents ages 18–21 from most counties in California""",4/25/23,,VALLEY TEEN RANCH,Failing
CA3901217,HAYNES BOARD & CARE HOME,San Joaquin,LPA69 - SAN JOAQUIN COUNTY,LPA69 - SAN JOAQUIN COUNTY,LPA69 - SAN JOAQUIN COUNTY,Private,Kristin,Ancillary,Private - Ancillary,Healthcare_eldercare,"Assisted Living & Nursing Home,",,,HAYNES BOARD & CARE HOME,At-Risk
CA4200969,AAA KINDNESS CARE HOME,Santa Barbara,LPA72 - SANTA BARBARA COUNTY,LPA72 - SANTA BARBARA COUNTY,LPA72 - SANTA BARBARA COUNTY,Private,Kristin,Ancillary,Private - Ancillary,Healthcare_eldercare,,,,AAA KINDNESS CARE HOME,Potentially At-Risk
CA3303003,GALINDO HOUSING FACILITY,Riverside,LPA63 - RIVERSIDE COUNTY,LPA63 - RIVERSIDE COUNTY,LPA63 - RIVERSIDE COUNTY,Private,Kristin,Ancillary,Private - Ancillary,Housing,"unclear from google/google maps, but has housing in the name",3/1/23,,GALINDO HOUSING FACILITY,Not At-Risk
CA3900835,WAYSIDE MOTEL APARTMENTS WTR SYS,San Joaquin,LPA69 - SAN JOAQUIN COUNTY,LPA69 - SAN JOAQUIN COUNTY,LPA69 - SAN JOAQUIN COUNTY,Private,Kristin,Ancillary,Private - Ancillary,Housing,,,,WAYSIDE MOTEL APARTMENTS WTR SYS,Potentially At-Risk
CA1000472,PG&E HELMS SUPPORT FACILITY,Fresno,DISTRICT 23 - FRESNO,DISTRICT 23 - FRESNO,DISTRICT 23 - FRESNO,Private,Kristin,Ancillary,Private - Ancillary,Other_commercial,"this system is a  support facility for PG&E's 'Helms Pumped Storage Plant', with some on-site residences preumably. So Cal Edison was listed as a regulated WATER utility in the CPUC list, that's why I assigned it as such. But PG&E isn't, so I would actually keep this as private- other commercial because this system is to support PG&E's 'Helms Pumped Storage Plant'",,,PG&E HELMS SUPPORT FACILITY,At-Risk
CA1400004,CHARLES BROWN WATER COMPANY,Inyo,DISTRICT 13 - SAN BERNARDINO,DISTRICT 13 - SAN BERNARDINO,DISTRICT 13 - SAN BERNARDINO,Private,Kristin,Ancillary,Private - Ancillary,Recreation_tourism,"the email is for https://www.shoshonevillage.com/about-us/ which desciribes Charles Brown as the settler-founder of the community and"" Through the years and following successions, the little town remains in family hands."" and that there is a bunch of temp/residential housing e.g. Luxurious Room, RV Site, Vacation Rental, or Campsite",3/10/23,,CHARLES BROWN WATER COMPANY,At-Risk
CA1400078,SCE BISHOP CREEK PLANT 4,Inyo,DISTRICT 13 - SAN BERNARDINO,DISTRICT 13 - SAN BERNARDINO,DISTRICT 13 - SAN BERNARDINO,IOU,Original,IOU,Private - Ancillary,Other_commercial,This PWSID is not CPUC regulated- confirmed via email 3.22.23- assigned other commercial because it supports SoCal Edison facility,3/22/23,,SCE BISHOP CREEK PLANT 4,At-Risk
CA1009111,SCE/BIG CREEK POWERHOUSE #1,Fresno,DISTRICT 23 - FRESNO,DISTRICT 23 - FRESNO,DISTRICT 23 - FRESNO,IOU,Original,IOU,Private - Ancillary,Other_commercial,This PWSID is not CPUC regulated- confirmed via email 3.22.23- assigned other commercial because it supports SoCal Edison facility,3/22/23,,SCE/BIG CREEK POWERHOUSE #1,Potentially At-Risk
CA0707545,ORWOOD RESORT,Contra Costa,LPA37 - CONTRA COSTA COUNTY,LPA37 - CONTRA COSTA COUNTY,LPA37 - CONTRA COSTA COUNTY,MHP,Original,MHP,Private - Ancillary,Recreation_tourism,"RV and campground, Delta resort with restaurant no language on website about more permanent living facilities",2/28/23,,ORWOOD RESORT,Not At-Risk
CA1200715,GREEN DIAMOND RESOURCE COMPANY - KORBEL,Humboldt,DISTRICT 01 - KLAMATH,DISTRICT 01 - KLAMATH,DISTRICT 01 - KLAMATH,Private,Original,Private,Private - Ancillary,Agricultural_industrial,I think this is a CA based property owned by this logging/forestry company; https://www.greendiamond.com/ - they claim to have a residential pop of 250 so many this has housing for workers on site,3/1/23,,GREEN DIAMOND RESOURCE COMPANY - KORBEL,Not At-Risk
CA0800861,RESERVATION RANCH,Del Norte,DISTRICT 01 - KLAMATH,DISTRICT 01 - KLAMATH,DISTRICT 01 - KLAMATH,Private,Original,Private,Private - Ancillary,Agricultural_industrial,,,,RESERVATION RANCH,At-Risk
CA3500511,CASA DE FRUTA ORCHARDS,San Benito,DISTRICT 05 - MONTEREY,DISTRICT 05 - MONTEREY,DISTRICT 05 - MONTEREY,Private,Original,Private,Private - Ancillary,Agricultural_industrial,Farm and roadside fruit stand,,,CASA DE FRUTA ORCHARDS,Not At-Risk
CA1500516,TUT BROTHERS FARM #96,Kern,DISTRICT 12 - VISALIA,DISTRICT 12 - VISALIA,DISTRICT 12 - VISALIA,Private,Original,Private,Private - Ancillary,Agricultural_industrial,,,,TUT BROTHERS FARM #96,Potentially At-Risk
CA4100583,BIANCHI FLOWERS INC,San Mateo,DISTRICT 17 - SANTA CLARA,DISTRICT 17 - SANTA CLARA,DISTRICT 17 - SANTA CLARA,Private,Original,Private,Private - Ancillary,Agricultural_industrial,farm/upick,,,BIANCHI FLOWERS INC,At-Risk
CA4300611,CASA DE FRUTA WATER SYSTEM,Santa Clara,DISTRICT 17 - SANTA CLARA,DISTRICT 17 - SANTA CLARA,DISTRICT 17 - SANTA CLARA,Private,Original,Private,Private - Ancillary,Agricultural_industrial,,,,CASA DE FRUTA WATER SYSTEM,Potentially At-Risk
CA4100551,MARCHI CENTRAL FARM,San Mateo,DISTRICT 17 - SANTA CLARA,DISTRICT 17 - SANTA CLARA,DISTRICT 17 - SANTA CLARA,Private,Original,Private,Private - Ancillary,Agricultural_industrial,,,,MARCHI CENTRAL FARM,At-Risk
CA4100540,OKU INCORPORATED,San Mateo,DISTRICT 17 - SANTA CLARA,DISTRICT 17 - SANTA CLARA,DISTRICT 17 - SANTA CLARA,Private,Original,Private,Private - Ancillary,Agricultural_industrial,,,,OKU INCORPORATED,At-Risk
CA1009023,BRITZ/COLUSA,Fresno,DISTRICT 23 - FRESNO,DISTRICT 23 - FRESNO,DISTRICT 23 - FRESNO,Private,Original,Private,Private - Ancillary,Agricultural_industrial,Is a fertilizer and farming corp - family owned and run but larger,3/7/23,,BRITZ/COLUSA,Potentially At-Risk
CA1009179,BRITZ/FIVE POINT SYSTEM,Fresno,DISTRICT 23 - FRESNO,DISTRICT 23 - FRESNO,DISTRICT 23 - FRESNO,Private,Original,Private,Private - Ancillary,Agricultural_industrial,,,,BRITZ/FIVE POINT SYSTEM,Potentially At-Risk
CA1009232,"CC FARMS, LLC.",Fresno,DISTRICT 23 - FRESNO,DISTRICT 23 - FRESNO,DISTRICT 23 - FRESNO,Private,Original,Private,Private - Ancillary,Agricultural_industrial,,,,"CC FARMS, LLC.",Not At-Risk
CA1009147,FARMING D,Fresno,DISTRICT 23 - FRESNO,DISTRICT 23 - FRESNO,DISTRICT 23 - FRESNO,Private,Original,Private,Private - Ancillary,Agricultural_industrial,"community of houses that might be worker housing; part of Five Points Ranch, Inc. is a family owned farming company",3/7/23,,FARMING D,Failing
CA1009020,FIVE POINTS RANCH,Fresno,DISTRICT 23 - FRESNO,DISTRICT 23 - FRESNO,DISTRICT 23 - FRESNO,Private,Original,Private,Private - Ancillary,Agricultural_industrial,"Looks like housing but could label ag?  [
Gradon Farms-Mt. Whitney]",3/7/23,,FIVE POINTS RANCH,Potentially At-Risk
CA1000585,MURRIETA/HERNANDEZ FARMS,Fresno,DISTRICT 23 - FRESNO,DISTRICT 23 - FRESNO,DISTRICT 23 - FRESNO,Private,Original,Private,Private - Ancillary,Agricultural_industrial,,,,MURRIETA/HERNANDEZ FARMS,At-Risk
CA1009039,PAPPAS & CO (MENDOTA),Fresno,DISTRICT 23 - FRESNO,DISTRICT 23 - FRESNO,DISTRICT 23 - FRESNO,Private,Original,Private,Private - Ancillary,Agricultural_industrial,Again housing associated with large farm,3/7/23,,PAPPAS & CO (MENDOTA),Failing
CA1009120,RAU DAIRY,Fresno,DISTRICT 23 - FRESNO,DISTRICT 23 - FRESNO,DISTRICT 23 - FRESNO,Private,Original,Private,Private - Ancillary,Agricultural_industrial,,,,RAU DAIRY,At-Risk
CA1009222,TERRA LINDA FARMS,Fresno,DISTRICT 23 - FRESNO,DISTRICT 23 - FRESNO,DISTRICT 23 - FRESNO,Private,Original,Private,Private - Ancillary,Agricultural_industrial,,,,TERRA LINDA FARMS,Potentially At-Risk
CA1009214,WESTSIDE HARVESTING,Fresno,DISTRICT 23 - FRESNO,DISTRICT 23 - FRESNO,DISTRICT 23 - FRESNO,Private,Original,Private,Private - Ancillary,Agricultural_industrial,,,,WESTSIDE HARVESTING,Potentially At-Risk
CA2701742,CALIFORNIA ORCHARD WS,Monterey,LPA57 - MONTEREY COUNTY,LPA57 - MONTEREY COUNTY,LPA57 - MONTEREY COUNTY,Private,Original,Private,Private - Ancillary,Agricultural_industrial,"Admin contact appears to be Cal Orchard/Salinas Land Co  (44557 Teague Ave, Greenfield, CA 93927); has a ag/dom well type listed; company was founded by Lagomarsino family in 1917",,,CALIFORNIA ORCHARD WS,Not At-Risk
CA3400137,LINCOLN CHAN-HOME RANCH,Sacramento,LPA64 - SACRAMENTO COUNTY,LPA64 - SACRAMENTO COUNTY,LPA64 - SACRAMENTO COUNTY,Private,Original,Private,Private - Ancillary,Agricultural_industrial,Address matches with Chan Lincoln Farms -  https://www.scullypacking.com/growers/the-chan-family/,3/16/23,,LINCOLN CHAN-HOME RANCH,Potentially At-Risk
CA4200924,EL RANCHO TAJIGUAS,Santa Barbara,LPA72 - SANTA BARBARA COUNTY,LPA72 - SANTA BARBARA COUNTY,LPA72 - SANTA BARBARA COUNTY,Private,Original,Private,Private - Ancillary,Agricultural_industrial,Ranch with cows and other operations plus hacienda 17 hours for staff and caretakers,,,EL RANCHO TAJIGUAS,Not At-Risk
CA5000579,FOSTER FARMS #5,Stanislaus,LPA80 - STANISLAUS COUNTY,LPA80 - STANISLAUS COUNTY,LPA80 - STANISLAUS COUNTY,Private,Original,Private,Private - Ancillary,Agricultural_industrial,Address is to a Foster Farms Dairy site,,,FOSTER FARMS #5,Not At-Risk
CA5000313,BUEHNER WATER SYSTEM,Stanislaus,LPA80 - STANISLAUS COUNTY,LPA80 - STANISLAUS COUNTY,LPA80 - STANISLAUS COUNTY,Private,Original,Private,Private - Ancillary,Agricultural_industrial,"could be housing, is associated with orchard/farm",,,BUEHNER WATER SYSTEM,Not At-Risk
CA2300731,"CITY OF 10,000 BUDDHAS",Mendocino,DISTRICT 03 - MENDOCINO,DISTRICT 03 - MENDOCINO,DISTRICT 03 - MENDOCINO,Private,Original,Private,Private - Ancillary,Education_retreat,"http://www.cttbusa.org/- international Buddhist community and monastery founded by Hsuan Hua, owned by https://www.drba.org/ - Dharma Realm Buddhist Association [intersting water history, http://www.cttbusa.org/cttb/history&background.asp.html]",,,"CITY OF 10,000 BUDDHAS",Potentially At-Risk
CA1700527,MOUNTAIN OF ATTENTION WATER,Lake,DISTRICT 03 - MENDOCINO,DISTRICT 03 - MENDOCINO,DISTRICT 03 - MENDOCINO,Private,Original,Private,Private - Ancillary,Education_retreat,"Mountain Of Attention is the primary Ruchira Sannyasin Sanctuary in the United States, https://www.adidaupclose.org/Empowered_Places/mountain_of_attention.html",3/1/23,,MOUNTAIN OF ATTENTION WATER,Potentially At-Risk
CA2810012,PACIFIC UNION COLLEGE,Napa,DISTRICT 03 - MENDOCINO,DISTRICT 03 - MENDOCINO,DISTRICT 03 - MENDOCINO,Private,Original,Private,Private - Ancillary,Education_retreat,"private liberal arts college in Angwin, California affiliated with the Seventh-day Adventist Church",,,PACIFIC UNION COLLEGE,Not At-Risk
CA4410008,"MT. HERMON ASSOCIATION, INC.",Santa Cruz,DISTRICT 05 - MONTEREY,DISTRICT 05 - MONTEREY,DISTRICT 05 - MONTEREY,Private,Original,Private,Private - Ancillary,Education_retreat,Religious camp to encounter jesus,,,"MT. HERMON ASSOCIATION, INC.",Not At-Risk
CA5601401,KROTONA INSTITUTE,Ventura,DISTRICT 06 - SANTA BARBARA,DISTRICT 06 - SANTA BARBARA,DISTRICT 06 - SANTA BARBARA,Private,Original,Private,Private - Ancillary,Education_retreat,The Krotona Institute is a residential community of Theosophical Society members dedicated to service in a center where the Ageless Wisdom is studied and lived.,3/2/23,,KROTONA INSTITUTE,Not At-Risk
CA0300062,HOPE FOUNDATION/MORIAH HEIGHTS,Amador,DISTRICT 10 - STOCKTON,DISTRICT 10 - STOCKTON,DISTRICT 10 - STOCKTON,Private,Original,Private,Private - Ancillary,Education_retreat,"Is a church, moriah foundation appears to be disolved but maybe also serve whispering pines Christian school , https://ceqanet.opr.ca.gov/2015062031",3/1/23,,HOPE FOUNDATION/MORIAH HEIGHTS,Failing
CA4100538,CAMP JONES GULCH,San Mateo,DISTRICT 17 - SANTA CLARA,DISTRICT 17 - SANTA CLARA,DISTRICT 17 - SANTA CLARA,Private,Original,Private,Private - Ancillary,Education_retreat,YMCA summer camp,,,CAMP JONES GULCH,Not At-Risk
CA4100529,CAMP LOMA MAR,San Mateo,DISTRICT 17 - SANTA CLARA,DISTRICT 17 - SANTA CLARA,DISTRICT 17 - SANTA CLARA,Private,Original,Private,Private - Ancillary,Education_retreat,,,,CAMP LOMA MAR,Failing
CA4900577,RIO LINDO ADVENTIST ACADEMY,Sonoma,DISTRICT 18 - SONOMA,DISTRICT 18 - SONOMA,DISTRICT 18 - SONOMA,Private,Original,Private,Private - Ancillary,Education_retreat,Christian boarding school - https://www.riolindo.org/,,,RIO LINDO ADVENTIST ACADEMY,Not At-Risk
CA1000377,ST NICHOLAS RANCH & RETREAT,Fresno,DISTRICT 23 - FRESNO,DISTRICT 23 - FRESNO,DISTRICT 23 - FRESNO,Private,Original,Private,Private - Ancillary,Education_retreat,Religious retreat center,3/7/23,,ST NICHOLAS RANCH & RETREAT,Failing
CA5402047,GLEANINGS FOR THE HUNGRY,Tulare,DISTRICT 24 - TULARE,DISTRICT 24 - TULARE,DISTRICT 24 - TULARE,Private,Original,Private,Private - Ancillary,Education_retreat,Religious org that saves and processes food but has onsite housing for volunteers - caters to backpackers is sort of like hostel/hotel,,,GLEANINGS FOR THE HUNGRY,At-Risk
CA2100549,BLUE MOUNTAIN CENTER,Marin,DISTRICT 25 - MARIN,DISTRICT 25 - MARIN,DISTRICT 25 - MARIN,Private,Original,Private,Private - Ancillary,Education_retreat,"Meditation Center, https://www.bmcm.org/",,,BLUE MOUNTAIN CENTER,Not At-Risk
CA2100565,GREEN GULCH FARM,Marin,DISTRICT 25 - MARIN,DISTRICT 25 - MARIN,DISTRICT 25 - MARIN,Private,Original,Private,Private - Ancillary,Education_retreat,organic farm/ Zen center; https://www.sfzc.org/locations/green-gulch-farm,4/28/23,,GREEN GULCH FARM,Not At-Risk
CA0400001,YOUTH WITH A MISSION-SPRINGS OF LIVING W,Butte,LPA34 - BUTTE COUNTY,LPA34 - BUTTE COUNTY,LPA34 - BUTTE COUNTY,Private,Original,Private,Private - Ancillary,Education_retreat,"international movement of Christians, religious campus (https://ywamchico.org/history/), hold camps, not sure how its a CWS",3/1/23,,YOUTH WITH A MISSION-SPRINGS OF LIVING W,Not At-Risk
CA1900976,THE OAKS,Los Angeles,LPA49 - LA COUNTY,LPA49 - LA COUNTY,LPA49 - LA COUNTY,Private,Original,Private,Private - Ancillary,Education_retreat,,,,THE OAKS,Potentially At-Risk
CA2000688,ECCO,Madera,LPA50 - MADERA COUNTY,LPA50 - MADERA COUNTY,LPA50 - MADERA COUNTY,Private,Original,Private,Private - Ancillary,Education_retreat,"Episcopal Conference Center Oakhurst - ECCO, they have lodging/hotel too nearby",3/10/23,,ECCO,Failing
CA2702268,NEW CAMALDOLI HERMITAGE WS,Monterey,LPA57 - MONTEREY COUNTY,LPA57 - MONTEREY COUNTY,LPA57 - MONTEREY COUNTY,Private,Original,Private,Private - Ancillary,Education_retreat,Religious monestary - peopel can visit but I also think monks live there,,,NEW CAMALDOLI HERMITAGE WS,Potentially At-Risk
CA2701705,TASSAJARA SPRINGS WS,Monterey,LPA57 - MONTEREY COUNTY,LPA57 - MONTEREY COUNTY,LPA57 - MONTEREY COUNTY,Private,Original,Private,Private - Ancillary,Education_retreat,SF zen center operated hot springs/zen retreat center,,,TASSAJARA SPRINGS WS,Not At-Risk
CA2900562,ANANDA VILLAGE,Nevada,LPA59 - NEVADA COUNTY,LPA59 - NEVADA COUNTY,LPA59 - NEVADA COUNTY,Private,Original,Private,Private - Ancillary,Education_retreat,"yoga retreat space, A Spiritual Cooperative Community in the Tradition of Paramhansa Yogananda .",,,ANANDA VILLAGE,Not At-Risk
CA2900541,CHRISTIAN ENCOUNTER MINISTRIES,Nevada,LPA59 - NEVADA COUNTY,LPA59 - NEVADA COUNTY,LPA59 - NEVADA COUNTY,Private,Original,Private,Private - Ancillary,Education_retreat,BIBLICALLY-BASED CHURCH WITH AN INTEGRATED RESIDENTIAL YOUTH PROGRAM - Christian Encounter Ranch has residential counseling and discipleship program for struggling young people;,,,CHRISTIAN ENCOUNTER MINISTRIES,Potentially At-Risk
CA2900546,SIERRA FRIENDS CENTER,Nevada,LPA59 - NEVADA COUNTY,LPA59 - NEVADA COUNTY,LPA59 - NEVADA COUNTY,Private,Original,Private,Private - Ancillary,Education_retreat,non-profit Quaker organization 8 miles outside of Nevada City,,,SIERRA FRIENDS CENTER,Potentially At-Risk
CA3601015,IRONWOOD CAMP,San Bernardino,LPA66 - SAN BERNARDINO COUNTY,LPA66 - SAN BERNARDINO COUNTY,LPA66 - SAN BERNARDINO COUNTY,Private,Original,Private,Private - Ancillary,Education_retreat,Religious camp,,,IRONWOOD CAMP,Failing
CA4000501,HALCYON WATER SYSTEM,San Luis Obispo,LPA70 - SAN LUIS OBISPO COUNTY,LPA70 - SAN LUIS OBISPO COUNTY,LPA70 - SAN LUIS OBISPO COUNTY,Private,Original,Private,Private - Ancillary,Education_retreat,"the county LPA person told me they were a religious soceity of sorts when i was doing central coast CWS interviews - linked to this church, https://www.templeofthepeople.org/, Halcyon Community Association / historic district based on their founding",4/11/23,,HALCYON WATER SYSTEM,Failing
CA4200618,MIDLAND SCHOOL,Santa Barbara,LPA72 - SANTA BARBARA COUNTY,LPA72 - SANTA BARBARA COUNTY,LPA72 - SANTA BARBARA COUNTY,Private,Original,Private,Private - Ancillary,Education_retreat,boarding HS; MIDLAND SCHOOL CORPORATION (https://midland-school.org/admissions/) ,4/11/23,,MIDLAND SCHOOL,Not At-Risk
CA4400755,MONTEREY BAY ACADEMY,Santa Cruz,LPA74 - SANTA CRUZ COUNTY,LPA74 - SANTA CRUZ COUNTY,LPA74 - SANTA CRUZ COUNTY,Private,Original,Private,Private - Ancillary,Education_retreat,Christian bording school,,,MONTEREY BAY ACADEMY,Potentially At-Risk
CA5200559,ABBEY OF NEW CLAIRVAUX,Tehama,LPA82 - TEHAMA COUNTY,LPA82 - TEHAMA COUNTY,LPA82 - TEHAMA COUNTY,Private,Original,Private,Private - Ancillary,Education_retreat,Monastery,3/10/23,,ABBEY OF NEW CLAIRVAUX,Potentially At-Risk
CA5800863,FELLOWSHIP OF FRIENDS,Yuba,LPA88 - YUBA COUNTY,LPA88 - YUBA COUNTY,LPA88 - YUBA COUNTY,Private,Original,Private,Private - Ancillary,Education_retreat,"https://fellowshipoffriends.com/, The Fellowship of Friends is registered as a 501(c)(3) California non-profit church organization and is a member of the International Council of Community Churches (ICCC).",3/10/23,,FELLOWSHIP OF FRIENDS,Not At-Risk
CA2500911,I'SOT WELL #3 & #15,Modoc,DISTRICT 02 - LASSEN,DISTRICT 02 - LASSEN,DISTRICT 01 - KLAMATH,Private,Original,Private,Private - Ancillary,Healthcare_eldercare,Last Frontier Healthcare District; admin is this clinic site https://modocmedicalcenter.org/canby-clinic-dental/ ,3/10/23,,I'SOT WELL #3 & #15,Not At-Risk
CA3500810,WHISPERING PINES INN,San Benito,DISTRICT 05 - MONTEREY,DISTRICT 05 - MONTEREY,DISTRICT 05 - MONTEREY,Private,Original,Private,Private - Ancillary,Healthcare_eldercare,https://www.whpines.com/ (senior care),3/1/23,,WHISPERING PINES INN,At-Risk
CA1503509,THE ANNE SIPPI CLINIC-RIVERSIDE RANCH,Kern,DISTRICT 12 - VISALIA,DISTRICT 12 - VISALIA,DISTRICT 12 - VISALIA,Private,Original,Private,Private - Ancillary,Healthcare_eldercare,,,,THE ANNE SIPPI CLINIC-RIVERSIDE RANCH,Failing
CA1000199,FOWLER CARE CENTER,Fresno,DISTRICT 23 - FRESNO,DISTRICT 23 - FRESNO,DISTRICT 23 - FRESNO,Private,Original,Private,Private - Ancillary,Healthcare_eldercare,"Nursing home, https://fowlercarecenter.org/",3/1/23,,FOWLER CARE CENTER,At-Risk
CA1000366,SUNNYSIDE CONVALESCENT HOSP,Fresno,DISTRICT 23 - FRESNO,DISTRICT 23 - FRESNO,DISTRICT 23 - FRESNO,Private,Original,Private,Private - Ancillary,Healthcare_eldercare,"Long Term Care Facility/skilled nursing home; for-profit, corporate ownership; Nurses went on strike in fall 2022",3/1/23,,SUNNYSIDE CONVALESCENT HOSP,At-Risk
CA0500091,RITE OF PASSAGE/SIERRA RIDGE,Calaveras,LPA35 - CALAVERAS COUNTY,LPA35 - CALAVERAS COUNTY,LPA35 - CALAVERAS COUNTY,Private,Original,Private,Private - Ancillary,Healthcare_eldercare,"treatment center, serve up to 16 young men with specialized treatment and care ""MT. LASSEN TREATMENT CENTER and YOSEMITE TREATMENT CENTER are located on the former Sierra Ridge campus."" and refer to their staff as ""Rite of Passage"" team /https://riteofpassage.com/",3/1/23,,RITE OF PASSAGE/SIERRA RIDGE,Not At-Risk
CA1600293,CHAMPIONS- SAMUEL'S HOUSE,Kings,LPA46 - KINGS COUNTY,LPA46 - KINGS COUNTY,LPA46 - KINGS COUNTY,Private,Original,Private,Private - Ancillary,Healthcare_eldercare,residential and outpatient substance use disorder (SUD) treatment services in Kings and Tulare county https://www.championsrecovery.org/aboutus,4/28/23,,CHAMPIONS- SAMUEL'S HOUSE,At-Risk
CA1900062,LOS ANGELES RESIDENTIAL COMMUNITY FOUNDA,Los Angeles,LPA49 - LA COUNTY,LPA49 - LA COUNTY,LPA49 - LA COUNTY,Private,Original,Private,Private - Ancillary,Healthcare_eldercare,"Maybe its this place, https://larcfoundation.org/living-at-larc-ranch/, residential place for developmental disabilities",,,LOS ANGELES RESIDENTIAL COMMUNITY FOUNDA,At-Risk
CA1900616,THE RIVER COMMUNITY,Los Angeles,LPA49 - LA COUNTY,LPA49 - LA COUNTY,LPA49 - LA COUNTY,Private,Original,Private,Private - Ancillary,Healthcare_eldercare,has 1 CM SC but then 35 residents  along San Gabriel River - because its a rehab facility (https://www.socialmodelrecovery.org/services/river-community/),3/10/23,,THE RIVER COMMUNITY,Not At-Risk
CA2702816,MERRILL GARDENS IRIS CANYON WS,Monterey,LPA57 - MONTEREY COUNTY,LPA57 - MONTEREY COUNTY,LPA57 - MONTEREY COUNTY,Private,Original,Private,Private - Ancillary,Healthcare_eldercare,https://www.merrillgardens.com/,,,MERRILL GARDENS IRIS CANYON WS,Not At-Risk
CA3301055,VILLAGE OF CHILDHELP,Riverside,LPA63 - RIVERSIDE COUNTY,LPA63 - RIVERSIDE COUNTY,LPA63 - RIVERSIDE COUNTY,Private,Original,Private,Private - Ancillary,Healthcare_eldercare,"https://www.childhelp.org/childhelp-merv-griffin-village/, residential treatment facility for 6-14 year olds- Childhelp provides enriching therapeutic activities, education, and pastoral care to residents during their stay, whether a few weeks or a number of month",,,VILLAGE OF CHILDHELP,Not At-Risk
CA3601085,RANCHO PINO VERDE,San Bernardino,LPA66 - SAN BERNARDINO COUNTY,LPA66 - SAN BERNARDINO COUNTY,LPA66 - SAN BERNARDINO COUNTY,Private,Original,Private,Private - Ancillary,Healthcare_eldercare,Residential facility for people with brain injuries,,,RANCHO PINO VERDE,At-Risk
CA3901304,ENCLAVE AT THE DELTA,San Joaquin,LPA69 - SAN JOAQUIN COUNTY,LPA69 - SAN JOAQUIN COUNTY,LPA69 - SAN JOAQUIN COUNTY,Private,Original,Private,Private - Ancillary,Healthcare_eldercare,Assisted living facility,,,ENCLAVE AT THE DELTA,At-Risk
CA3901276,HANOT FOUNDATION INC,San Joaquin,LPA69 - SAN JOAQUIN COUNTY,LPA69 - SAN JOAQUIN COUNTY,LPA69 - SAN JOAQUIN COUNTY,Private,Original,Private,Private - Ancillary,Healthcare_eldercare,Residential facility for people with disabilities,,,HANOT FOUNDATION INC,Potentially At-Risk
CA5800851,FEATHER RIVER MANOR,Yuba,LPA88 - YUBA COUNTY,LPA88 - YUBA COUNTY,LPA88 - YUBA COUNTY,Private,Original,Private,Private - Ancillary,Healthcare_eldercare,SDWIS says its 'INSTITUTION'; medium-sized assisted living community /retirement home,4/28/23,,FEATHER RIVER MANOR,Failing
CA2300735,HOLLY RANCH VILLAGE,Mendocino,DISTRICT 03 - MENDOCINO,DISTRICT 03 - MENDOCINO,DISTRICT 03 - MENDOCINO,Private,Original,Private,Private - Ancillary,Housing,"advertises homes and apartments, not listed as a MHP in the state's list",3/10/23,,HOLLY RANCH VILLAGE,Not At-Risk
